མདན་པ,འགྲམ་པའི་དོན་དུ་གོ་བའི་ལྡན་པ་
མདའ་རྒྱུས,སྔོ་སྨན་གྱི་རིགས་འབྲས་བུ་དམར་པོ་བྱུ་རུ་
མདའ་ཡིག,མདའི་དབྱིབས་
མདའ་གཡབ,མདའ་ཡབ་
མདུང་ཟླ་ཚེས་མ,མདུང་རྩེའི་ལྕགས་ཀྱི་དབྱིབས་ཟླ་ཚེས་
མདུན་མ,འདུན་མ་
མདོག་ཁ་མོ,མདོག་ཁ་པོ་
མདོངས་གསོལ,མདོང་གསོལ་
མདོམས,ཕོ་མོའི་མཚན་མ་གནས་ཡུལ་དོན་དུ་གོ་བའི་འདོམས་
འདག་གུ,ལྡག་གུ་
འདག་བག,འདམ་བག་
འདག་བྱིལ,འདག་བྱེའུ་
འདང་མ་འདངས,ལྡང་མ་ལྡངས་
འདན་པ,སྒོའི་གཏན་པའི་དོན་དུ་གོ་བའི་མདན་པ་
འདམ་བྱེའུ,འདག་བྱེའུ་
འདི་མཚུངས,འདི་
འདུན་ལས,དུན་ལས་
འདུར་བོན,དུར་བོན་
འདོ་བ,་བང་
འདོ་ལི,མདོ་ལི་
འདོ་ལེ,མདོ་ལི་
འདོད་རྒུ,འདོད་དགུ་
འདོད་རྔམ,འདོད་རྔམས་
འདོལ་པོ,འདོལ་བ་
འདྲ་སྒྲིག་པ,ངོ་མ་མ་ཡིན་པར་དེ་
འདྲ་ཆགས་པ,འདྲ་ཆགས་པོ་
འདྲ་པོ,མཚུངས་པའི་དོན་དུ་གོ་བའི་འདྲ་བ་
འདྲ་དཔེ,མཚུངས་པའི་དཔེ་སྟེ་དཔེར་ན་མི་དེའི་སྣ་གླང་ཆེན་གྱི་སྣ་
འདྲ་སྤྱད,དྲས་སྤྱད་
འདྲ་བ,འང་རང་དོན་,བཟི་ནས་རོ་
འདྲ་བའི་ཡི་གེ,ན་ནི་ཏའི་སྡེ་ཚན་,ང་ནི་ཀའི་སྡེ་ཚན་
འདྲ་བཟོས,དཔེ་དེ་
འདྲ་བཤུས,མ་དཔེ་
འདྲེས་པའི་མ་རིག་པ,ལྟ་བ་ཉོན་མོངས་ཅན་
རྡང,གདང་
རྡུང་ཁ,རྡུང་ག་
རྡུམ་པོ,རྡུམ་པ་
རྡེག་འཆོས་པ,རྡེག་འཆའ་བ་
རྡོ་ཀ་མ་རུ་པ,གཡང་ཊི་
རྡོ་ཀླད,དབྱིབས་ཀླད་པ་
རྡོ་ཁབ་ལེན,མགོ,རྡོ་སྨན་བྱེའུ་མགོ་མཆོག་དམན་རིགས་གཉིས་ཀྱི་ནང་ཚན་དམན་པ་དབྱིབས་ཁྲའི་མགོ་
རྡོ་སྤོས,རྡོ་སྨན་གྱི་རིགས་དབྱིབས་ཧ་ཤིག་
རྡོ་ཕག་མགོ,རྡོ་སྨན་གྱི་རིགས་དབྱིབས་ཕག་གི་མགོ་
རྡོ་བྱེའུ་མགོ,རྡོ་སྨན་གྱི་རིགས་དབྱིབས་བྱེའུའི་མགོ་
རྡོ་ཤེལ,ཤེལ་
རྡོ་ཧྲུབ,རྡོ་ཧྲུག་
རྡོག་ཚིག,རྡོ་ཚིག་
རྡོབ་རྡོབ,རྡབ་རྡོབ་
རྡོལ་བོན,བརྡོལ་བོན་
ལྡང་ཀ་སྐ,ལྡང་སྐོ་སྐ་
ལྡེབས་མ,ལྡེབ་མ་
ལྡེམ་པ,ལྡེམ་པོ་
ལྡེའུ,ལྡེ་གུ་
ལྡེའུ་མིག,ལྡེ་མིག་
སྡུག་རྒུར,སྡུག་སྒུར་
སྡེབ,དེབ་
སྡོང་རོས,ལྡོང་རོས་
བརྡབ་གཤོགས,བརྡབ་ཞོགས་,བརྡ་གཤོག་
བརྡའ,བརྡ་
བརྡལ་གླ,རྡལ་གླ་
བརྡོས་པ,རྡོས་པ་
ན་མ་པོ་ཐོ,ན་ཁ་སྤོ་ཐོ་
ནག་ཆུ,དེ་ནས་ནག་ཆུ་རྫོང་བརྒྱུད་དེ་འབྲི་རུ་རྫོང་ཁུལ་དུ་ཤག་ཆུ་,དེ་ནས་སོག་རྫོང་ཁུལ་དུ་སོག་ཆུ་
ནག་ཐིང་ངེ,ནག་ཏིང་ངེ་
ནང་པ,ནངས་པ་
ནང་བྱན་ཚུད་པ,ནང་བྱན་ཆུད་པ་
ནང་མ་སྒང,ནང་མ་ཁང་
ནང་བཟན,ནང་ཟན་
ནང་ལུགས,སྤྲོས་པ་
དཔའ་བ་བརྟན་པ་,དཔའ་བོ་བརྟན་པ་
དཔར་,པར་
དཔར་མ་,པར་མ་
དཔུར་,སྤུར་
དབྱངས་ཚེབ་,རྒྱུ་ལྕགས་ལས་བྱས་ཤིང་དབྱིབས་ཚེབ་
དེ་ཕོ་,ལུས་དབྱིབས་ཁྱིམ་བྱ་
དེང་རབས་ཞབས་འདེགས་ལས་རིགས་,བརྡ་འཕྲིན་དང་དངུལ་རྩ་དང་རྩིས་གཉེར་
དོམ་ཁྲ་,ལུས་དབྱིབས་དྲེད་
དོམ་ཁྲ་,ལུས་དབྱིབས་དྲེད་
དེད་པ་,འདེད་པའི་འདས་པ་
དོངས་,འདོང་བའི་སྐུལ་ཚིག་
དམུར་བ་,མུར་བ་
ད་ཕྲུག་,དྭ་ཕྲུག་
ད་ཚུར་,དར་ཚུར་
དཀན་,རྐན་
དཀྱུས་ས་,དཀྱུ་ས་
དགུང་,དགོང་
དགུར་,སྒུར་
དགོངས་,དགུང་
དགྱེད་,བཀྱེད་ཀྱི་མ་འོངས་པ་
དགྲད་,བགྲད་
དངུད་མོ་,ངུད་མོ་
དངོམ་,རྔམ་
དན་ཏ་,དན་ཏ་ཞེས་པ་
དཔའ་བཀོང་,སྤ་བཀོང་
དཔྲི་,སྤྲི་
དབ་དིབ་,ལྡབ་ལྡིབ་
དབགས་,སྦ་གས་
དབྱིག་པ་,དབྱུག་པ་
དབྱུག་,གཡུག་
དབྱུག་གུ་,དབྱུ་གུ་
དབྲོལ་,ཕྲལ་གྱི་ད་ལྟ་བ་
དམད་,སྨད་
དམིགས་,དམིག་
དམོད་,སྨོད་
དར་ཅོག་,དར་ལྕོག་
དིང་,དེ་ང་
དིང་སང་,དེང་སང་
དུག་པ་,དུག་པོ་
དུང་,དུངས་
དེ་ཀ་,དེ་ག་
དེ་ཁ་,དེ་ག་
དོད་,བཏོད་ཀྱི་སྐུལ་ཚིག་
དྲུད་དྲུད་,ཀྲུ་ཀྲུ་
དྲེ་,དྲེལ་
ད་ར་,དར་བ་
དཀན་,རྐན་
དཀའ་བཟློག་བླ་མ་,བཀའ་ཟློག་བླ་མ་ཞེས་པ་
དཀར་ཁྲ་མེན་,དཀར་ཁྲ་མན་
དཀྱིལ་དཀྲུང་,སྐྱིལ་ཀྲུང་
དགུར་བ་,སྒུར་བ་
དགུར་མོ་,སྒུར་པོ་
དགེས་པ་རྡོ་རྗེ་,དགྱེས་པ་རྡོ་རྗེ་
དགོལ་,ལས་ཀ་བྱེད་དུ་འཇུག་པའི་དོན་གྱི་འཁོལ་གྱི་མ་འོངས་པ་བཀོལ་
དགྱེ་བོ་,དགྱེ་པོ་
དང་ཁ་,དང་ག་
དང་རུ་,དང་རུས་
དངུད་མོ་,ངུད་མོ་
དངོམ་,རྔམ་
དན་ཏ་,དན་ད་ཞེས་པ་
དཔའ་བ་བརྟན་པ་,དཔའ་བོ་བརྟན་པ་
དཔའ་བརྟུལ་,དཔའ་རྟུལ་
དཔུང་བ་,དཔུང་པ་
དཔེའི་རྒྱན་,དཔེ་རྒྱན་
དཔྲི་,སྤྲི་
དབའ་,ཆུའི་རྦ་རླབས་ཀྱི་རྦ་
དབའ་སྒལ་,དབའ་རྒལ་
དབུ་,དབུས་
དབྱར་ཀ་,དབྱར་ཁ་
དམ་ག་,དམ་ཁ་
དམར་ཧྲང་,དམར་ཧྲེང་
དམུ་,རྨུ་ཞེས་པ་
དམོད་པ་,སྨོད་པ་
དམོན་,རྨོ་ཡི་ད་ལྟ་བ་
དར་གུད་,དར་རྒུད་
དར་བབས་,དར་བབ་
དིང་,དེང་
དིང་སང་,དེང་སང་
དུང་འཕྱུར་,དུང་ཕྱུར་
དེ་ཀ་,དེ་ག་
དེ་ཁ་,དེ་ག་
དོང་ཀ་,དོང་ག་
དོངས་,འདོང་བའི་སྐུལ་ཚིག་
དྲ་ཕྱེད་,དྲྭ་ཕྱེད་
དྲ་བ་,མཐུད་འབྲེལ་གྱི་དོན་གྱི་དྲྭ་བ་
དྲན་པ་ཉེར་བཞག་བཞི་,དྲན་པ་ཉེར་གཞག་བཞི་
དྲལ་མ་,གྲལ་མ་
དྲུམས་,གྲུམས་
དཀྱུས་ས་,དཀྱུ་ས་
དགོང་ག་,དགོང་ཀ་
དཀྱིག་,བཀྱིག་
དཔགས་ཆེན་,དཔག་ཆེན་
དཔའ་ཀློང༌་,དབའ་ཀློང་
དཔུང་དམྱྀག་བྱུང༌་,དཔུང་དམྱིག་བྱུང་
དབུར་ཏེ་,དབུར་ཏི་
དབྱར་ཁབ་,དབྱར་ཁང་
དབྱར་བསྙལ་བསླངས་,དབྱར་ཉལ་ལངས་
དབྱར་མོ་ཐང་,གཡེར་མོ་ཐང་
དབྱུག་གུ་ཤིང༌་,ཡུ་གུ་ཤིང་
དབྱུག་ཐོ་,དབྱུག་ཏོ་
དབྱེན་བསྡུམས་མཆོད་རྟེན་,དབྱེན་ཟླུམ་མཆོད་རྟེན་
དབྱེན་འདུམ་མཆོད་རྟེན་,དབྱེན་ཟླུམ་མཆོད་རྟེན་
དམངས་གཙོ་,མང་གཙོ་
དམའ་པོ་,དམའ་བོ་
དམར་བོ་དར་ཡ་ཀན་,དམར་པོ་དར་ཡ་ཀན་
དགྲ་ཟིན་,དགྲ་ཟུན་
དཱུར་བ་,དཱུར་ཝ་
དྲུས་,བྲུས་
དཀན་,རྐན་
དཀྱུས་ས་,དཀྱུ་ས་
དགུང་,དགོང་
དགུར་,སྒུར་
དགོངས་,དགུང་
དགྱེད་,བཀྱེད་ཀྱི་མ་འོངས་པ་
དགྲད་,བགྲད་
དངུད་མོ་,ངུད་མོ་
དངོམ་,རྔམ་
ད་ཕྲུག་,དྭ་ཕྲུག་
ད་ཚུར་,དར་ཚུར་
དན་ཏ་,དན་ཏ་ཞེས་པ་
དབ་དིབ་,ལྡབ་ལྡིབ་
དར་ཅོག་,དར་ལྕོག་
དིང་,དེང་
དིང་སང་,དེང་སང་
དུག་པ་,དུག་པོ་
དུང་,དུངས་
དེ་ཀ་,དེ་ག་
དེ་ཁ་,དེ་ག་
དོད་,བཏོད་ཀྱི་སྐུལ་ཚིག་
དྲུད་དྲུད་,ཀྲུ་ཀྲུ་
དྲེ་,དྲེལ་
དཔའ་བཀོང་,སྤ་བཀོང་
དཔྲི་,སྤྲི་
དབགས་,སྦགས་
དབྱིག་པ་,དབྱུག་པ་
དབྱུག་,གཡུག་
དབྱུག་གུ་,དབྱུ་གུ་
དབྲོལ་,ཕྲལ་གྱི་ད་ལྟ་བ་
དམད་,སྨད་
དམིགས་,དམིག་
དམོད་,སྨོད་
དེད་པ་,འདེད་པའི་འདས་པ་
དོངས་,འདོང་བའི་སྐུལ་ཚིག་
དམུར་བ་,མུར་བ་
ན་མ་པོ་ཐོ་,ན་ཁ་སྤོ་ཐོ་
ནག་ཐིང་ངེ་,ནག་ཏིང་ངེ་
ནང་པ་,ནངས་པ་
ནང་བྱན་ཚུད་པ་,ནང་བྱན་ཆུད་པ་
ནང་མ་སྒང་,ནང་མ་ཁང་
ནང་བཟན་,ནང་ཟན་
ནང་ལུགས་,སྤྲོས་པ་
ནད་མེད་ཆུ་,ཁ་དོག་འབྲི་མར་བཞུས་པ་
ནན་པོ་,ནན་པ་
ནམ་དགུང་,ནམ་གུང་
ནམ་དམུས་པ་,ནམ་རྨུས་པ་
ནར་ནར་མོ་,ནར་ནར་པོ་
ནི་ལ་,ནཱིལ་
ནེ་གྲོ་ཏ་,ཉ་གྲོ་རྡ་
ནེ་ལེ་ཐོད་ཁྲག་ནཱི་ལ་ཐོ་ཐའི་འབྲི་ཚུལ་གཞན་ཞིག་ནེ་གསིང་,ནེའུ་གསིང་
ནེའུ་ཐང་,ནེ་ཐང་
ནེའུ་སིང་,ནེའུ་གསིང་
ན་,ལོ་མའི་དབྱིབས་ཐ་རམ་
ན་དྲུག་རྒྱན་,རྒྱན་དྲུག་
ན་མ་པོ་ཐོ་,ན་ཁ་སྤོ་ཐོ་
ནག་པོ་རིམ་བཞིའི་ཁྲིད་,ཞེས་པའི་བར་གཞན་རྣམས་
ནང་ལྟར་,གང་ཞིག་
ནང་སྐོར་,ནང་སྐོར་མིག་
ནན་ཏུར་བཅོ་ལྔ་,དགེ་སློང་མ་རྣམས་
ནམ་གླང་,གླང་པོ་ཆེ་
ནཱ་རོ་ཆོས་དྲུག་,ཡུལ་ཐམས་ཅད་དེ་
ནཱ་རོ་ཆོས་དྲུག་གི་ཁྲིད་,ཞེས་པའི་བར་གཞན་རྣམས་
ནེ་ལེ་,བྱ་གླག་
ནཻ་གུ་ཆོས་དྲུག་གི་ཁྲིད་,ཞེས་པའི་བར་གཞན་རྣམས་
ནམ་མཁའ་སྣང་བྱེད་,།སྣང་སྲིད་ཐམས་ཅད་དེ་
ནང་གི་འཕོ་བ་,ལུས་ལ་རྒྱུ་སྐར་
ནང་རྩའི་སྟོང་ར་,མདོར་ན་རྩ་ནི་ཡུར་བ་
ན་གརྫུ་,སྲིད་སྒྲུབ་
ན་,ལོ་མའི་དབྱིབས་ཐ་རམ་
ནད་མེད་ཆུ་,ཁ་དོག་འབྲི་མར་བཞུས་པ་
ནན་པོ་,ནན་པ་
ནམ་དགུང་,ནམ་གུང་
ནམ་དམུས་པ་,ནམ་རྨུས་པ་
ནར་ནར་མོ་,ནར་ནར་པོ་
ནལ་ཕྲུག་,ནལ་བུ་
ནི་ལ་,ནཱིལ་
ནེ་གྲོ་ཏ་,ནྱ་གྲོ་རྡ་
ནེ་གསིང་,ནེའུ་གསིང་
ནེའུ་ཐང་,ནེ་ཐང་
ནེའུ་སིང་,ནེའུ་གསིང་
ན་ཤྭ་,ཤིང་ཕྲན་གྱི་ཁྲོད་སོགས་རླན་སར་གནས་ཤིང་ལུས་དབྱིབས་ཤྭ་ཁྲ་
ནགས་བྱི་,ཕྱི་དབྱིབས་བྱི་བ་
ནད་སྲིན་འདྲ་ཕུང༌་,དེ་ལ་ལྒང་དབྱིབས་
ནུབ་ཆས་,ནུབ་གོས་
ནང་གི་གཟུགས་ཅན་དང་བ་,ནང་གི་གཟུགས་ཅན་དཱངས་པ་
ན་རུ་,ན་རོ་
ནང་,ནངས་
ནལ་མ་,རྩྭ་སྨན་ནད་མ་
ནེ་གསིང་,ནེའུ་གསིང་
ནེའུ་སིང་,ནེའུ་གསིང་
ནོལ་,མནོལ་
ན་རོ་,ན་རུ་
ན་རོ་ཆོས་དྲུག་,ནཱ་རོ་ཆོས་དྲུག་
ནང་གི་གཟུགས་ཅན་དང་བ་,ནང་གི་གཟུགས་ཅན་དྭངས་པ་
ནང་མ་སྒང་,ནང་མ་ཁང་
ནམ་མཁའ་མཐའ་ཡས་སྐྱེད་མཆེད་,ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་
ནམ་རྨས་,ནམ་དམུས་
ནལ་མ་,རྩྭ་སྨན་ནད་མ་
ནེ་གྲོ་ཏ་,ནྱ་གྲོ་དྷ་
ནེ་ལེ་,ནེའུ་ལེ་
ནེ་ལེ་ཐོད་ཁྲག་,ནཱི་ལ་ཐོ་ཋ་
ནེའུ་སིང་,ནེའུ་གསིང་
ནོལ་,མནོལ་
ན་རུ་,ན་རོ་
ནང་,ནངས་
ནལ་མ་,རྩྭ་སྨན་ནད་མ་
ནེའུ་སིང་,ནེའུ་གསིང་
ནེ་གསིང་,ནེའུ་གསིང་
ནོལ་,མནོལ་
ནང་གི་གཟུགས་ཅན་དང་བ་,ནང་གི་གཟུགས་ཅན་དྭངས་པ་
ནེ་ལེ་ཐོད་ཁྲག་,ནཱི་ལ་ཐོ་ཋ་
པ་ཅར་,པ་ཆར་
པ་རི་པུ་རུ་,པ་རི་པི་རི་
པ་ཤི་,པཀཤི་
པགས་པ་མཉེན་,པགས་པ་ཅན་
པང་སྟེང་,སྤང་རྟེན་
པར་ཏང་,མཐའ་སྣེ་རྟའི་ཟེ་རྔོག་
པར་ཐང་,པར་ཏང་
པུ་ཏི་,པོ་ཏི་
པུས་པ་ལ་,པུ་ས་ལ་
པོ་ཏོ་,པོ་མཐོ་
པོ་ཐོ་,སྤོ་ཏོ་
པོ་སོན་འཆའ་,པོ་སོ་ཆ་
པྲོག་རྩེ་མོའམ་ཏོག་ཞཱའི་མདུད་པྲོག་ཁྱིམ་བྱའི་ཟེ་པྲོག་པྲོག་མ་,སྤྲོག་མ་
པ་ཏོ་ལ་,ལོ་མ་ཐང་ཤིང་གི་ལོ་མ་
པྲི་ཡང་ཀུ་,གཞུང་རྟ་སྨུག་པོ་དྲང་བོར་སྐྱེས་ཤིང་ལོ་མ་མཁན་པའི་ལོ་མ་
པ་བ་རེ་སྐོན་,སྙིང་དབྱིབས་
པར་ཁ་བཏབ་པ་,ཚ་ཚ་ཚ་ཀོང་
པདྨ་དཀར་པོ་ལྟ་བུའི་གང་ཟག་,དེ་ལྟ་བས་ན་པདྨ་དཀར་པོ་
པུ་ཏྲ་མིང་སྲིང་གི་རྗེས་གནང་གི་བརྒྱུད་པ་,སྔགས་འཆང་ཆེན་པོའི་གསུང་སྟེང་ནས་གསན་པའང་འདི་
པན་ཆད་,པན་ཅད་
པ་ཏོ་ལ་,ལོ་མ་ཐང་ཤིང་གི་ལོ་མ་
པྲི་ཡང་ཀུ་,གཞུང་རྟ་སྨུག་པོ་དྲང་བོར་སྐྱེས་ཤིང་ལོ་མ་མཁན་པའི་ལོ་མ་
པ་ཅར་,པ་ཆར་
པ་རི་པུ་རུ་,པ་རི་པི་རི་
པ་ཤི་,པཀྵི་
པགས་པ་མཉེན་,པགས་པ་ཅན་
པགས་ཚག་,པགས་རྩག་
པང་སྟེང་,སྤང་རྟེན་
པར་ཏང་,མཐའ་སྣེ་རྟའི་ཟེ་རྔོག་
པར་ཐང་,པར་ཏང་
པུ་ཏི་,པོ་ཏི་
པུས་པ་ལ་,པུ་ས་ལ་
པོ་ཏོ་,པོ་མཐོ་
པོ་ཐོ་,སྤོ་ཏོ་
པོ་སོན་འཆའ་,པོ་སོ་ཆ་
པྲོག་མ་,སྤྲོག་མ་
པི་ཝང་ཟླ་གམ་མ་,མགོ་ཟླ་ཕྱེད་ཀྱི་དབྱིབས་
པདམ་,པད་མ་
པདམ་རཱ་ག་,པད་མ་རཱ་ག་
པེ་ཅིང་,པེ་ཅིན་
པུ་ཏི་,པོ་ཏི་
པྲེང་ངེ་,བྲང་ངེ་
པ་ཆར་,པ་ཅར་
པ་ཝ་སངས་,གཟའ་བདུན་གྱི་ཡ་གྱལ་པ་སངས་
པ་རི་པུ་རུ་,པ་རི་པི་རི་
པང་སྟེང་,གྲངས་གནས་ཉེར་བཞི་པ་སྤང་རྟེན་
པད་མ་ཅན་,པདྨ་ཅན་
པད་མ་རཱ་ག་,པདྨ་རཱ་ག་
པདྨ་,པད་མ་
པུ་ཏི་,པོ་ཏི་
པེ་ཅིན་,པེ་ཅིང་
པོ་པོ་,སྤོ་སྤོ་
པོ་སོན་འཆའ་,པོ་སོ་ཆ་
པྲེང་ངེ་,བྲང་ངེ་
པྲྀ་ཐི་ཝཱི་ཨོ་ཛཿ་,པྲྀ་ཐི་བཱི་ཨོ་ཛཿ་
པྲྀ་ཐི་ཝཱི་རཱ་སཿ་,པྲྀ་ཐི་བཱི་རཱསཿ་
པྲྀ་ཐི་ཝཱི་མཎྜཿ་,པྲྀ་ཐི་བཱི་མཎྜཿ་
པྲྀ་ཐི་ཝཱི་,པྲྀ་ཐི་བཱི་
པྲྀ་ཐི་ཝཱི་པརྤ་ཊཿ་,པྲྀ་ཐི་བཱི་སརྦ་ཊ་ཀཿ་
པག་པོར་,པག་ཕོར་
པགས་བྱིའུ་,པགས་བྱེའུ་
པྲྀ་ཐི་ཝཱི་དྷཱ་ཏུཿ་,པྲྀ་ཐི་བཱི་སརྦ་ཊ་ཀཿ་
པུ་ཏི་,པོ་ཏི་
པྲེང་ངེ་,བྲང་ངེ་
པདྨ་,པད་མ་
པདྨ་རཱ་ག་,པད་མ་རཱ་ག་
པེ་ཅིང་,པེ་ཅིན་
ཕ་བང་ལོང་བུ་,རྡོ་སྨན་ནག་པོ་གྲུ་བཞི་ཤོ་
ཕ་བོང་,ཕ་བོང་ཆེན་པོ་དེ་རུས་སྦལ་གྱི་དབྱིབས་
ཕ་ཝང་ལོང་བུ་,ཡུལ་འགར་གསེར་རྡོ་ཟེར་བའི་རྡོ་ནག་པོ་གྲུ་བཞི་ཤོ་
ཕ་གཡར་,ཕ་ཡར་
ཕག་མགོ་,རྡོ་སྨན་གྱི་རིགས་ཕག་གི་མགོ་དབྱིབས་
ཕང་པ་,པང་པ་
ཕང་ལོ་,འཕང་ལོ་
ཕང་ཤིང་,འཕང་ཤིང་
ཕན་ཆོད་,ཕན་ཆད་
ཕན་ཐོགས་པོ་,ཕན་ཐོགས་པ་
ཕབ་,ཕབས་
ཕམ་འབབས་,ཕམ་ཕབ་
ཕར་ཆེར་ཚུར་ཆེར་,ཕར་ཅེར་ཚུར་ཅེར་
ཕར་ཕྱིན་བཅུ་,ཕ་རོལ་ཏུ་ཕྱིན་པ་བཅུ་སྟེ་ཁམས་གསུམ་གྱི་སྡུག་བསྔལ་རྒྱ་མཚོ་
ཕར་ལུང་གཙང་པོ་,ཡིད་འོང་གཙང་པོ་
ཕལ་ཀ་,འཕལ་ཀ་
ཕལ་ཅེར་,ཕལ་ཆེར་
ཕུ་དུང་,ཕུ་ཐུང་
ཕུང་པོ་,ཚེར་མའི་ཕུང་པོའི་སྟེང་དུ་འདུག་པ་
ཕེབ་རྡོབ་,ཕེག་རྡོབ་
ཕེར་པོ་,འཕེར་པོ་
ཕེར་བ་,འཕེར་བ་
ཕོ་བ་རི་ལུ་,ཕོ་བ་རིས་
ཕོ་བ་རིལ་བུ་,ཕོ་བ་རིས་
ཕོག་སྦྱིན་པའི་དོན་དུ་གོ་བའི་འབོག་པ་དང་འབོགས་པའི་སྐུལ་ཚིག་ཕོག་གུ་,ཕོ་གུ་
ཕོད་ཆུངས་སེ་བ་,ཕོད་ཆུང་ངེ་བ་
ཕོར་འབྱིད་,ཕོར་ཕྱིས་
ཕྱག་ཐམ་,ཕྱག་དམ་
ཕྱག་པ་,ཆུན་པོའི་དོན་དུ་གོ་བའི་ཆག་པ་
ཕྱང་འཕྲུལ་,ཕྱང་ཕྲུལ་
ཕྱམ་ཆད་,ཕྱམ་ཕྱད་
ཕྱམ་རྩེ་,ཕྱམ་རྩེ་
ཕྱི་འབྲེད་,ཕྱི་འཕྲེད་
ཕྱིན་ཀ་ལོག་,ཕྱིན་ཅི་ལོག་ཕྱིན་ག་ལོག་ཕྱིན་ཀ་ལོག་
ཕྱིར་འཆོས་,ཕྱིར་བཅོས་
ཕྱུགས་ཆུང་,ཕྱུགས་ཕྱུང་
ཕྱུར་ཕྱུར་,འཕྱུར་འཕྱུར་
ཕྱེད་པོ་,ཕྱེད་མ་
ཕྲ་བ་,ཕྲ་མོ་
ཕྲག་རྡང་,ཕྲག་གདང་
ཕྲེད་,ཕྲེད་
ཕ་ཝང་,ལུས་དབྱིབས་ཙི་གུ་
ཕོ་བ་,ཡར་སྣེ་མིད་ཐག་དང་མར་སྣེ་རྒྱུ་མར་འབྲེལ་ཞིང་དབྱིབས་ཁུག་མ་
ཕྱད་ཕྱོད་,ཕྱད་དེ་ཕྱོད་དེ་
ཕག་རྒོད་,ལུས་ཕག་
ཕང་པ་,པང་པ་
ཕན་ཚུན་གཉིས་འབྱོར་རྣམ་པ་བརྒྱད་,སུམ་ཅུ་རྩ་གསུམ་པ་རྣམས་ཀྱང་དེ་
ཕར་ལུང་གཙང་པོ་,ཡིད་འོང་གཙང་པོ་
ཕུང་པོ་ལྔའི་མཚོན་དཔེ་ལྔ་,གཟུགས་ཀྱི་ཕུང་པོ་སྣོད་
ཕྱག་ཆེན་ལྔ་ལྡན་གྱི་ཁྲིད་,ཞེས་པའི་བར་གཞན་རྣམས་
ཕྱག་རྒྱའི་ལམ་གྱི་ཁྲིད་,ཞེས་པའི་བར་གཞན་རྣམས་
ཕྱི་རྒྱན་དྲུག་,རྒྱན་དྲུག་
ཕྱི་སྐོར་,ཕྱི་སྐོར་ལུས་
ཕྱིར་མི་འོང་མཐོང་ཆོས་ཞི་,ས་མཚམས་ཕྱིར་མི་འོང་སྤྱི་
ཕུར་པ་རྗོ་རྗེ་གཞོན་ནུ་,རྡོ་རྗེ་གཞོན་ནུ་རང་
ཕྱག་རྡོར་འཁོར་ཆེན་གྱི་རྗེས་གནང་ཟུར་བཀའི་བརྒྱུད་པ་,རྩ་སྔགས་སམ་ཕྲེང་སྔགས་སུ་གྲགས་པ་འགྲོལ་བཅས་གོང་
ཕྱག་རྡོར་ཉི་མ་མདུང་གང་མའི་རྗེས་གནང་གི་བརྒྱུད་པ་,རྗེས་གནང་པདྨ་གར་དབང་གིས་གསུང་དག་གོང་རྗེས་གནང་
ཕྱིར་མི་འོང་ལ་ཞུགས་པ་,།དབྱེ་བ་ཕྱིར་འོང་
ཕྲ་རྒྱས་དགུ་བཅུ་གོ་བརྒྱད་,།གཟུགས་ཁམས་གཟུགས་མེད་དེ་
ཕྲ་གསུམ་,ཕྲ་གསུམ་
ཕུ་ཞིབ་,ཕུ་ཞི་བ་
ཕུབ་ཚར་,ཚར་ལོ་
ཕུ་མ་,སྦུན་པ་
ཕོར་རྩིད་,ཕུབ་རྩིད་
ཕྱི་ནང་གི་འཇིག་རྟེན་,རང་གི་ལུས་ལ་རྒྱུ་སྐར་
ཕ་ཝང་,ལུས་དབྱིབས་ཙི་གུ་
ཕོ་བ་,ཡར་སྣེ་མིད་ཐག་དང་མར་སྣེ་རྒྱུ་མར་འབྲེལ་ཞིང་དབྱིབས་ཁུག་མ་
ཕྱད་ཕྱོད་,ཕྱད་དེ་ཕྱོད་དེ་
ཕ་ཝང༌་,ལུས་དང་མགོ་བོ་བྱི་བ་
ཕི་ཐུད་,ཤིང་ཏོག་དང་གྲོ་ཕྱེ་སྒོ་ང་འོ་མ་སོགས་བསྲེས་ནས་བཟོས་པའི་ཐུད་
ཕྱི་སྐོགས་,སྙི་ལུས་སྲོག་ཆགས་སོགས་ཀྱི་ཕྱི་ཤུན་སྲ་མོ་རུས་པ་
ཕྱེ་ལེབ་མེ་ཏོག་,ཕྱེ་མ་ལེབ་ཀྱི་དབྱིབས་
ཕྱེ་སྦྲེལ་,རླངས་འཁོར་
ཕྱེས་པ་,འབྱེད་པའི་འདས་པ་
ཕྲུགས་པ་,འཕྲུག་པའི་འདས་པ་
ཕ་ཝོང་,ཕ་བོང་
ཕན་,ཀ་འཕན་ཞེས་པའི་འཕན་
ཕབས་,དག་ཡིག་ལ་ལར་ཕབས་འདི་ཕབ་
ཕིགས་,ཕུག་
ཕུབ་མ་,ཕུག་མ་
ཕྱ་ར་,ཕྱར་བ་
ཕྱང་,༢་འཕྱང་
ཕྱུར་བ་,ཆུར་བ་
ཕྱུར་བུ་,བྱུར་བུ་
ཕྱེས་,དབྱེ་ཡི་འདས་པ་དང་སྐུལ་ཚིག་
ཕྱོགས་ཀ་,གཤོག་ཀ་
ཕྲིན་,འཕྲིན་
ཕྲིས་,༣་ཕྲི་
ཕྲུ་,འཕྲུ་
